id,username,email,total_points,win_rate,streak,created_at
63,synthetic_user_6,synthetic_user_6@example.com,0.0,0.0,0,2025-11-30T09:02:32.739070+00:00
64,synthetic_user_7,synthetic_user_7@example.com,0.0,0.0,0,2025-11-30T09:02:32.889305+00:00
65,synthetic_user_8,synthetic_user_8@example.com,0.0,0.0,0,2025-11-30T09:02:33.046904+00:00
66,synthetic_user_9,synthetic_user_9@example.com,0.0,0.0,0,2025-11-30T09:02:33.197476+00:00
67,synthetic_user_10,synthetic_user_10@example.com,0.0,0.0,0,2025-11-30T09:02:33.380753+00:00
68,synthetic_user_11,synthetic_user_11@example.com,0.0,0.0,0,2025-11-30T09:02:33.534721+00:00
69,synthetic_user_12,synthetic_user_12@example.com,0.0,0.0,0,2025-11-30T09:02:33.685278+00:00
70,synthetic_user_13,synthetic_user_13@example.com,0.0,0.0,0,2025-11-30T09:02:33.838190+00:00
71,synthetic_user_14,synthetic_user_14@example.com,0.0,0.0,0,2025-11-30T09:02:33.989052+00:00
72,synthetic_user_15,synthetic_user_15@example.com,0.0,0.0,0,2025-11-30T09:02:34.144298+00:00
73,synthetic_user_16,synthetic_user_16@example.com,0.0,0.0,0,2025-11-30T09:02:34.300791+00:00
57,synthetic_user_0,synthetic_user_0@example.com,0.0,0.0,0,2025-11-30T09:02:31.727024+00:00
58,synthetic_user_1,synthetic_user_1@example.com,0.0,0.0,0,2025-11-30T09:02:31.879926+00:00
59,synthetic_user_2,synthetic_user_2@example.com,0.0,0.0,0,2025-11-30T09:02:32.044392+00:00
60,synthetic_user_3,synthetic_user_3@example.com,0.0,0.0,0,2025-11-30T09:02:32.269222+00:00
61,synthetic_user_4,synthetic_user_4@example.com,0.0,0.0,0,2025-11-30T09:02:32.432297+00:00
62,synthetic_user_5,synthetic_user_5@example.com,0.0,0.0,0,2025-11-30T09:02:32.588793+00:00
74,synthetic_user_17,synthetic_user_17@example.com,0.0,0.0,0,2025-11-30T09:02:34.456043+00:00
75,synthetic_user_18,synthetic_user_18@example.com,0.0,0.0,0,2025-11-30T09:02:34.608202+00:00
76,synthetic_user_19,synthetic_user_19@example.com,0.0,0.0,0,2025-11-30T09:02:34.765456+00:00
77,synthetic_user_20,synthetic_user_20@example.com,0.0,0.0,0,2025-11-30T09:02:34.919852+00:00
78,synthetic_user_21,synthetic_user_21@example.com,0.0,0.0,0,2025-11-30T09:02:35.076247+00:00
79,synthetic_user_22,synthetic_user_22@example.com,0.0,0.0,0,2025-11-30T09:02:35.226425+00:00
80,synthetic_user_23,synthetic_user_23@example.com,0.0,0.0,0,2025-11-30T09:02:35.391626+00:00
81,synthetic_user_24,synthetic_user_24@example.com,0.0,0.0,0,2025-11-30T09:02:35.553650+00:00
82,synthetic_user_25,synthetic_user_25@example.com,0.0,0.0,0,2025-11-30T09:02:35.714796+00:00
83,synthetic_user_26,synthetic_user_26@example.com,0.0,0.0,0,2025-11-30T09:02:35.870902+00:00
84,synthetic_user_27,synthetic_user_27@example.com,0.0,0.0,0,2025-11-30T09:02:36.042431+00:00
85,synthetic_user_28,synthetic_user_28@example.com,0.0,0.0,0,2025-11-30T09:02:36.201366+00:00
86,synthetic_user_29,synthetic_user_29@example.com,0.0,0.0,0,2025-11-30T09:02:36.354657+00:00
87,synthetic_user_30,synthetic_user_30@example.com,0.0,0.0,0,2025-11-30T09:02:36.510704+00:00
88,synthetic_user_31,synthetic_user_31@example.com,0.0,0.0,0,2025-11-30T09:02:36.664801+00:00
89,synthetic_user_32,synthetic_user_32@example.com,0.0,0.0,0,2025-11-30T09:02:36.828131+00:00
90,synthetic_user_33,synthetic_user_33@example.com,0.0,0.0,0,2025-11-30T09:02:36.982855+00:00
91,synthetic_user_34,synthetic_user_34@example.com,0.0,0.0,0,2025-11-30T09:02:37.136848+00:00
92,synthetic_user_35,synthetic_user_35@example.com,0.0,0.0,0,2025-11-30T09:02:37.307223+00:00
93,synthetic_user_36,synthetic_user_36@example.com,0.0,0.0,0,2025-11-30T09:02:37.522119+00:00
94,synthetic_user_37,synthetic_user_37@example.com,0.0,0.0,0,2025-11-30T09:02:37.680842+00:00
95,synthetic_user_38,synthetic_user_38@example.com,0.0,0.0,0,2025-11-30T09:02:37.832894+00:00
96,synthetic_user_39,synthetic_user_39@example.com,0.0,0.0,0,2025-11-30T09:02:37.989362+00:00
97,synthetic_user_40,synthetic_user_40@example.com,0.0,0.0,0,2025-11-30T09:02:38.148948+00:00
98,synthetic_user_41,synthetic_user_41@example.com,0.0,0.0,0,2025-11-30T09:02:38.302374+00:00
99,synthetic_user_42,synthetic_user_42@example.com,0.0,0.0,0,2025-11-30T09:02:38.456994+00:00
